,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1,1.0,1.0,1.0,1.0,0.992,,,,,,,,,,,,,,,
2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
3,1.0,0.9805825242718447,0.9910714285714286,1.0434782608695652,1.0289855072463767,,,,,,,,,,,,,,,
4,1.0,1.0,1.0095238095238095,,,,,,,,,,,,,,,,,
5,1.0,0.9294871794871795,0.9294871794871795,0.9290322580645162,,,,,,,,,,,,,,,,
6,1.0128205128205128,1.0128205128205128,1.0192307692307692,,,,,,,,,,,,,,,,,
7,1.0070921985815602,1.0283687943262412,1.049645390070922,,,,,,,,,,,,,,,,,
8,1.0,1.0,0.9862068965517241,1.0,,,,,,,,,,,,,,,,
9,1.0,0.9640287769784173,1.027972027972028,,,,,,,,,,,,,,,,,
10,1.0,1.0241935483870968,0.9607843137254902,,,,,,,,,,,,,,,,,
11,1.0,1.016,0.9847328244274809,0.9926470588235294,0.9926470588235294,,,,,,,,,,,,,,,
12,1.0,1.0,1.0,1.0084745762711864,,,,,,,,,,,,,,,,
13,1.0,1.0,1.0,1.0141843971631206,,,,,,,,,,,,,,,,
14,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
15,0.9803921568627451,0.9819819819819819,1.0982142857142858,0.9765625,,,,,,,,,,,,,,,,
16,0.9871794871794872,1.0260869565217392,0.9752066115702479,0.9714285714285714,,,,,,,,,,,,,,,,
17,1.0,0.9925373134328358,1.0,,,,,,,,,,,,,,,,,
18,1.0,1.0091743119266054,,,,,,,,,,,,,,,,,,
19,1.0,1.103896103896104,1.6262626262626263,,,,,,,,,,,,,,,,,
20,1.0105263157894737,1.0,1.0086206896551724,,,,,,,,,,,,,,,,,
21,1.0,1.0,1.0,1.0066666666666666,,,,,,,,,,,,,,,,
22,1.0,1.0,0.9545454545454546,1.0,1.0,1.0227272727272727,,,,,,,,,,,,,,
23,1.0,1.0,1.0245901639344261,1.0245901639344261,1.0245901639344261,,,,,,,,,,,,,,,
24,1.1979166666666667,1.1979166666666667,1.1274509803921569,,,,,,,,,,,,,,,,,
25,1.0,1.0,0.9854014598540146,,,,,,,,,,,,,,,,,
